event_id,name,type,case_name,time,location,value,description
E01,台风桦加沙生成,初始事件,桦加沙,2025/9/18,西北太平洋,第18号台风,在西北太平洋生成
E02,台风桦加沙强度增强,初始事件,桦加沙,2025/9/18,西北太平洋,17级以上（62米/秒）,60小时完成“四级跳”，维持超强台风77小时
E03,台风桦加沙首次登陆,初始事件,桦加沙,2025/9/24,广东阳江海陵岛,13级（40米/秒）,以台风级首次登陆
E04,台风桦加沙二次登陆,初始事件,桦加沙,2025/9/25,广西北海,8级（20米/秒）,以热带风暴级二次登陆
E05,极端风速,初始事件,桦加沙,2025/9/24,广东上川岛,65.1米/秒（17级）,创广东国家级气象站纪录
E06,强降雨,初始事件,桦加沙,2025/9/22,广东阳江,370.8mm,累计降水量
E07,电网受损,设备故障事件,桦加沙,2025/9/24,广东、广西,—,持续性大范围强风暴雨导致电网受损
E08,启动应急响应,系统响应事件,桦加沙,2025/9/23,南方电网区域,—,提前部署组织抢修力量
E09,投入抢修力量,系统响应事件,桦加沙,2025/9/24,广东、广西,6.1万人、1.46万辆车、515台发电车,累计投入抢修资源
E10,数字技术应用,系统响应事件,桦加沙,2025/9/24,广东、深圳,—,数字孪生、自愈配电网；深圳1分钟内自愈复电
E11,跨区支援,系统响应事件,桦加沙,2025/9/24,广东阳江,500余人、80余台车,东莞、河源、惠州、云浮供电局支援
E12,党员突击队出动,系统响应事件,桦加沙,2025/9/24,广东,643支突击队,广东电网组织党员突击队和服务队
E13,用户停电,后果事件,桦加沙,2025/9/24,广东、广西,超九成受影响,广东超九成、广西超八成用户停电
E14,人员伤亡,后果事件,桦加沙,2025/9/24,台湾,17死32伤17失联,台湾地区灾情
E15,农业损失,后果事件,桦加沙,2025/9/24,台湾,2.47亿元新台币,农业产物及设施损失
E16,海水倒灌,后果事件,桦加沙,2025/9/24,广东惠州、深圳、珠海、江门,—,局部区域发生海水倒灌
E17,海堤受损,后果事件,桦加沙,2025/9/24,广东汕尾、惠州、珠海、阳江,—,部分海堤受损
E18,五停措施,后果事件,桦加沙,2025/9/24,珠海、广州等地,—,停课、停工、停产、停运、停业
E19,广东全面复电,恢复事件,桦加沙,2025/9/26,广东阳江海陵岛,—,海陵岛全面恢复供电
E20,主网安全运行,恢复事件,桦加沙,2025/9/25,南方电网区域,—,主网保持安全稳定运行
E21,应急响应降级,恢复事件,桦加沙,2025/9/25,南方电网区域,—,受影响用户基本恢复供电
